Resource ID,Metadata Version,Metadata Language,Title,Logos Title,Abbreviated Title,Logos Abbreviated Title,Resource Type,Edition,Authors,My Tags,Community Tags,My Rating,Community Rating,Publication Date,Electronic Publication Date,Series,Subjects,Languages,File Name,File Version,Last Updated,License
LLS:WHTYTHNKCHRSTBN,2014-02-08T00:09:33Z,inglês,What Think Ye of Christ? Being Lectures on the Incarnation and Its Interpretation in Terms of Modern Thought,What Think Ye of Christ? Being Lectures on the Incarnation and Its Interpretation in Terms of Modern Thought,"","",Monografia,Logos,"Raven, Charles E.","","",,"2,7",1916,2014,"",Incarnation.; Jesus Christ--Person and offices.,inglês,WHTYTHNKCHRSTBN.logos4,2014-02-03T22:18:10Z,2014-09-05T01:18:29-04:00,Permanente
LLS:TRNTYNCRNTN,2014-02-08T00:09:33Z,inglês,The Trinity and the Incarnation,The Trinity and the Incarnation,"","",Monografia,Logos,"Armstrong, Richard A.","","",,"2,9",1904,2014,"",Incarnation.; Jesus Christ--Divinity.,inglês,TRNTYNCRNTN.logos4,2014-02-03T22:17:58Z,2014-09-05T01:18:29-04:00,Permanente
LLS:SMTHGHTSNCRNTN,2014-02-08T00:09:33Z,inglês,Some Thoughts on the Incarnation,Some Thoughts on the Incarnation,"","",Monografia,Logos,"Robinson, J. Armitage","","",,"2,7",1903,2014,"",Incarnation.,inglês,SMTHGHTSNCRNTN.logos4,2014-02-03T22:17:48Z,2014-09-05T01:18:29-04:00,Permanente
LLS:RCNCLTNNCRNTN,2014-02-08T00:09:33Z,inglês,Reconciliation by Incarnation: The Reconciliation of God and Man by the Incarnation of the Divine Word,Reconciliation by Incarnation: The Reconciliation of God and Man by the Incarnation of the Divine Word,"","",Monografia,Logos,"Simon, D. W.","","",,"2,7",1898,2014,"",Creation.; God.; Incarnation.,inglês,RCNCLTNNCRNTN.logos4,2014-02-03T22:17:38Z,2014-09-05T01:18:29-04:00,Permanente
LLS:PRNCPLNCRNTN,2014-02-08T00:09:33Z,inglês,The Principle of the Incarnation,The Principle of the Incarnation,"","",Monografia,Logos,"Powell, H. C.","",incarnation,,"2,9",1896,2014,"",Incarnation.,inglês,PRNCPLNCRNTN.logos4,2014-02-03T22:17:24Z,2014-09-05T01:18:29-04:00,Permanente
LLS:PRNCPLHRSSRLTNG,2014-02-08T00:09:33Z,inglês,The Principal Heresies Relating to Our Lord’s Incarnation: A Treatise,The Principal Heresies Relating to Our Lord’s Incarnation: A Treatise,"","",Monografia,Logos,"Wyatt, H. H.","",incarnation,,"2,5",1881,2014,"",Incarnation.,inglês,PRNCPLHRSSRLTNG.logos4,2014-02-03T22:17:09Z,2014-09-05T01:18:29-04:00,Permanente
LLS:PRSNTCHRSTDLYTN,2014-02-08T00:09:33Z,inglês,A Present Christ: Daily Ten Minutes’ Readings for Four Weeks on the Incarnation,A Present Christ: Daily Ten Minutes’ Readings for Four Weeks on the Incarnation,"","",Monografia,Logos,"Potter, J. Hasloch","","",,"2,7",1881,2014,"",Incarnation.,inglês,PRSNTCHRSTDLYTN.logos4,2014-02-03T22:16:58Z,2014-09-05T01:18:29-04:00,Permanente
LLS:PRPRTNNCRNTN,2014-02-08T00:09:33Z,inglês,The Preparation of the Incarnation,The Preparation of the Incarnation,"","",Monografia,Logos,"Coleridge, Henry James","",incarnation,,"2,7",1885,2014,"",Incarnation.; Jesus Christ.,inglês,PRPRTNNCRNTN.logos4,2014-02-03T22:16:46Z,2014-09-05T01:18:29-04:00,Permanente
LLS:NCHRSTNNQRYMNNR,2014-02-08T00:09:33Z,inglês,The One Christ: An Enquiry into the Manner of the Incarnation,The One Christ: An Enquiry into the Manner of the Incarnation,"","",Monografia,Logos,"Weston, Frank","",incarnation,,"2,7",1914,2014,"",Incarnation.,inglês,NCHRSTNNQRYMNNR.logos4,2014-02-03T22:16:31Z,2014-09-05T01:18:29-04:00,Permanente
LLS:NCRNTNTRNLWRD,2014-02-08T00:09:33Z,inglês,On the Incarnation of the Eternal Word,On the Incarnation of the Eternal Word,"","",Monografia,Logos,"Dods, Marcus","",incarnation,,"2,9",1831,2014,"",Incarnation.,inglês,NCRNTNTRNLWRD.logos4,2014-02-03T22:16:18Z,2014-09-05T01:18:29-04:00,Permanente
