Resource ID,Metadata Version,Metadata Language,Title,Logos Title,Abbreviated Title,Logos Abbreviated Title,Resource Type,Edition,Authors,My Tags,Community Tags,My Rating,Community Rating,Publishers,Publication Date,Electronic Publication Date,Series,Subjects,Languages,File Name,File Version,Last Updated,License
LLS:ZPHDICTCHRSPIRIT,2025-08-11T22:30:46Z,inglês,Dictionary of Christian Spirituality,Dictionary of Christian Spirituality,,,Enciclopédia,Logos Research,"Scorgie, Glen G.; Chan, Simon; Smith, Gordon T; Smith, James D., III",,spirituality; dictionary; encyclopedia; theology; dictionarytheology,,"3,6",Zondervan,2011,2012,,Spirituality.,inglês,ZPHDICTCHRSPIRIT.logos4,2012-05-02T23:23:25Z,2026-03-29T17:16:46-03:00,Permanente
LLS:EVRY11KI1,2024-08-30T23:40:42Z,inglês,1 and 2 Kings for Everyone,1 and 2 Kings for Everyone,OTE 1-2Ki,OTE 1-2Ki,Comentário bíblico,Logos Research,"Goldingay, John",,commentaryapplication; commentary; 1-kings; 2-kings; commentaryexegetical,,"3,5","SPCK; Westminster John Knox",2011,2013,For Everyone Bible Study Guides,"Bible. O.T. 1 Kings--Commentaries.; Bible. O.T. 2 Kings--Commentaries.",inglês,EVRY11KI1.logos4,2014-10-03T23:30:36Z,2025-01-04T15:02:00-03:00,Permanente
LLS:FDNMRTLDDDLM,2024-03-25T19:43:06Z,português,Fedão (a imortalidade da alma),Fedão (a imortalidade da alma),,,Monografia,Logos Research,Platão,,,,"3,2",Faithlife,2021,2021,,,português,FDNMRTLDDDLM.logos4,2022-01-14T22:30:36Z,2025-01-04T15:02:00-03:00,Permanente
